Quartal,Jahr,bergbau_sek2,verarbeitendes_gewerbe_sek2,herstellung_nahrungsmittel_sek2,herstellung_textilien_sek2,herstellung_holzwaren_sek2,kokerei_sek2,herstellung_pharmaeutika_sek2,herstellung_kunststoff_sek2,herstellung_metall_sek2,herstellung_datenverarb_geraete_sek2,herstellung_elektr_sek2,maschinenbau_sek2,fahrzeugbau_sek2,herstellung_sonstiges_sek2,energieversorgung_sek2,wasserversorgung_sek2,baugewerbe_sek2,hoch_tiefbau_sek2,sonstiges_asubaugewerbe_sek2,kraftfahrzeuge_sek3,motorfahrzeuge_sek3,grosshande_sek3,detailhande_sek3,verkehr_sek3,landverkehr_sek3,schifffahrt_sek3,lagerei_sek3,postdienste_sek3,gastgewerbe_sek3,beherbergung_sek3,gastronomie_sek3,information_kommunikation_sek3,wirtschaftspruefung_sek3,telekommunikation_sek3,informationstechnologische_informationsdienstl_sek3,finanz_versicherungsdienstl_sek3,erbringung_finanzdienstleistungen_sek3,versicherungen_sek3,versicherungsdienstl_taetigk_sek3,grundstuecks_wohnungswesen_sek3,freiberufliche_dienstleistungen_sek3,wirtschaftspruefung_sek3,unternehmensberatung_sek3,architektur_ingenieur_sek3,forschung_entwicklung_sek3,sonstige_freiberufl_dienstleistungen_sek3,sonstigen_dienstl_sek3,sonstigen_dienstl2_sek3,vermittlung_arbeitskraefte_sek3,oeffentliche_verwaltung_sek3,erziehung_unterricht_sek3,gesundheits_sozialwesen_sek3,gesundheitswesen_sek3,heime_sek3,sozialwesen_sek3,kunst_sek3,sonstige_dienstleistungen_total_sek3
q3-1991,1991,6865.74,802077.27,82644.89,50542.14,107967.9,53266.37,24502.38,51105.47,113275.56,88690.04,45773.65,120410.89,7001.84,56896.14,23202.02,14096.81,372006.8,155774.48,216232.32,565534.32,76994.52,195617.6,292922.2,202197.69,98775.78,24437.33,28017.36,50967.21,233558.85,80867.09,152691.76,75101.37,29017.99,20115.22,25968.16,188580.69,125250.39,50763.33,12566.98,20771.73,199011.09,29017.99,30061.73,76486.8,12020.62,35515.56,90259.27,71848.47,18410.8,120886.36,138520.34,259816.81,164484.91,63725.99,31605.9,31611.9,97839.52
q4-1991,1991,6547.25,787392.96,81008.58,49524.53,105425.24,52373.9,24077.35,49582.08,112110.17,86996.18,45094.38,118098.85,7063.27,56038.41,23235.28,14204.72,310975.49,130538.75,180436.74,563026.32,76647.17,193407.7,292971.45,202532.73,98019.27,25117.75,28847.42,50548.3,224493,77858.26,146634.74,74809.52,28811.44,19940.97,26057.11,187158.73,123890.19,50470.88,12797.66,20472.72,198751.73,28811.44,30029.99,76419.2,11906.87,35491.71,88454.19,71951.06,16503.13,121197.71,141199.9,260959.27,165196.68,63999.96,31762.62,31671.73,97181.01
q1-1992,1992,6492,776803.46,79938.42,48869.27,104411.74,51764.99,23779.62,49281.25,111205.78,85792.16,44583.82,114860.69,7060.39,55255.35,23240.11,14326.19,334744.35,140365.75,194378.6,557769.72,76529.84,191234.33,290005.56,202088.78,97863.72,24837.29,29170.53,50217.24,225224.36,77954.07,147270.3,74728.26,28585.79,19818.83,26323.64,185970.35,122740.58,50169.24,13060.52,20154.77,199413.01,28585.79,30114.43,76702.9,11897.29,35632.43,88407.53,72296.67,16110.87,121633.9,142902.55,261352.38,165483.47,64059.16,31809.75,31716.58,96735.24
q2-1992,1992,6482.47,769732.79,79995.45,48200.73,103807.85,51282.6,23543.3,49272.66,110720.29,84711.39,43986.75,112296.57,7097.88,54817.32,23387.38,14524.88,353779.92,148271.5,205508.42,555465.78,75784.21,190196.82,289484.75,201971.09,97113.25,24880.99,29910.23,50066.61,227086.26,78601,148485.26,74381.72,28314.67,19760.18,26306.87,184778.96,121524.35,49930.07,13324.53,19971.81,198188.47,28314.67,29926.71,76259.49,11686.57,35512.04,93009.19,72744.9,20264.29,121853.34,143307.55,264487.06,167493.21,64831.62,32162.22,31789.58,97490.11
q3-1992,1992,6455.02,757729.2,78650.25,45939.71,100543.61,51007.41,23434.54,48387.1,110019.69,83132.04,43830.28,112306.41,7303.67,53174.49,23201.37,13826.59,353968.88,148176.29,205792.59,552599.89,75821.88,193711.47,283066.54,197862.84,96986.55,23113.61,30033.3,47729.37,228654.81,79304.46,149350.35,72297.88,27302.41,18877.61,26117.85,182995.82,119809.56,49680.09,13506.17,18434.7,193892.37,27302.41,29324.29,74690.27,11003.91,34947.53,94128.24,72363.85,21764.39,121031.39,142629.76,259016.12,164015.1,63498.92,31502.1,30267.66,95063.91
q4-1992,1992,6221.5,734889.01,77555.45,44571.9,97547.4,49766.77,22851.68,46288.02,107535.04,80914.66,42810.38,106223.71,7089.84,51734.17,22772.74,13890.6,314721.51,131852.09,182869.42,553704.44,75573.37,191585.07,286546.01,196690.34,96981.05,22544.01,30252.47,46912.81,217095.53,75208.42,141887.11,70971.18,26645.5,18583.58,25742.1,181244.89,118826.88,48782.63,13635.37,17421.34,188933.6,26645.5,28568.92,72736.03,10580.92,34175.27,89743.2,71425.49,18317.71,119566.88,141859.5,259708.95,164451.38,63672.48,31585.1,29747.99,91934.77
q1-1993,1993,6040.73,728962.21,75832.2,43527.84,96054.96,49867.42,22860.14,45338.62,106077.74,80822.07,43306.88,106952.29,7354.74,50967.31,22622.13,13710.8,311120.57,130334.62,180785.94,541431.86,74248.73,189220.87,277962.27,198307.19,95142.12,20585.89,30620.28,51958.9,214699.09,74356.12,140342.97,72755.86,26479.52,20489.78,25786.56,181655.46,119225.98,48447.17,13982.32,16984.62,187136.72,26479.52,28321.97,72049.49,10456.74,33898.12,88489.7,71632.98,16856.73,119047.32,142741.42,260619.3,165029.17,63884.22,31705.92,29740.7,90153.56
q2-1993,1993,6141.45,731913.1,77250.76,42453.11,96261.88,49983.22,22911.14,45725.99,107334.68,81090.8,43698.63,106421.81,7520.07,51261.02,22756.63,13822.82,329365.83,137997.23,191368.6,546148.39,75078.55,193484.41,277585.43,195615.96,92416.5,20529.55,31318.16,51351.75,222452.65,76772.71,145679.94,74044.54,26628.23,20273.7,27142.62,183078.34,120490.9,48122.36,14465.08,18440.15,196560.6,26628.23,29751.98,75942.7,10618.76,35629.85,94698.59,74123.43,20575.16,119019.74,145375.57,264473.47,167461.17,64828.35,32183.95,30421.08,91303.31
q3-1993,1993,6029.65,724925.09,76409.43,42040.66,96304.18,49536.69,22661.67,44912.74,107454.59,79204.8,42846.03,104981.95,7648.03,50924.33,22660.06,14099.18,333473.26,139669.49,193803.78,544084.59,74740.58,191353.36,277990.65,192254.9,91825.62,20327.24,32064.57,48037.46,218517.6,75067.58,143450.03,72753.52,26280.42,19003.71,27469.39,183111.22,120995.8,47290.87,14824.55,18684.44,197620.56,26280.42,29924.24,76440.7,10396.61,35853.81,96679.94,74279.52,22400.43,119750.86,145034.64,266302.78,168606.21,65284.99,32411.58,30214.8,91266.16
q4-1993,1993,5871.28,709015.36,75506.35,41373.83,94617.98,48564.46,22193.5,44395.03,105953.04,77504.66,41814.47,99782.23,7464.59,49845.22,22566.96,13955.71,309272.44,129632.97,179639.48,528181.53,74281.44,180485.17,273414.92,193550.1,93039.5,20114.52,32577.61,47818.47,215161.54,73767.73,141393.81,73223.9,26474.9,18915.44,27833.56,182441.25,120849.69,46462.06,15129.5,17912.1,197156.29,26474.9,29854.08,76272.47,10244.12,35904.04,94858.68,74871,19987.68,119339.61,148074.48,266394.37,168687.27,65284.53,32422.57,31441.55,90861.77
