jahr,bip_pro_Kopf_CHF_laufende_Preise,veraenderung_VJ_laufende_Preise,index1991_100_laufende_Preise,bip_pro_Kopf_Veraenderung_VJ_Preise_Vorjahr,index1991_100_Preise_Vorjahr
1991,56.460,,100.0,,100.0
1992,57.057,1.1,101.1,-1.0,99.0
1993,57.740,1.2,102.3,-1.1,97.9
1994,58.559,1.4,103.7,0.2,98.1
1995,58.802,0.4,104.1,-0.3,97.8
1996,58.953,0.3,104.4,0.0,97.8
1997,59.832,1.5,106.0,2.0,99.7
1998,61.354,2.5,108.7,2.7,102.4
1999,62.063,1.2,109.9,1.1,103.6
2000,65.047,4.8,115.2,3.4,107.1
2001,66.430,2.1,117.7,1.1,108.3
2002,65.734,-1.0,116.4,-0.8,107.4
2003,66.000,0.4,116.9,-0.8,106.6
2004,67.523,2.3,119.6,2.0,108.7
2005,69.610,3.1,123.3,2.1,111.1
2006,73.583,5.7,130.3,3.5,114.9
2007,77.627,5.5,137.5,3.0,118.4
2008,80.000,3.1,141.7,1.6,120.3
2009,77.566,-3.0,137.4,-3.5,116.1
2010,79.502,2.5,140.8,2.2,118.7
2011,80.347,1.1,142.3,1.1,119.9
2012,80.487,0.2,142.6,0.1,120.1
2013,80.923,0.5,143.3,0.6,120.8
2014,81.285,0.4,144.0,1.1,122.2
2015,80.654,-0.8,142.9,0.5,122.8
2016,80.953,0.4,143.4,1.0,124.0
2017,80.995,0.1,143.5,0.4,124.5
2018,83.333,2.9,147.6,2.1,127.1
2019,83.598,0.3,148.1,0.4,127.6
2020,80.644,-3.5,142.8,-2.9,124.0
2021,85.595,6.1,151.6,4.8,129.9
2022,89.810,4.9,159.1,1.8,132.3
2023,90.027,0.2,159.5,-0.6,131.4
