Jahr,Basis_Datum,Landesindex_der_Konsumentenpreise
1914,01.06.1914,100.0
1915,02.06.1914,113.0
1916,03.06.1914,131.0
1917,04.06.1914,163.0
1918,05.06.1914,204.0
1919,06.06.1914,222.0
1920,07.06.1914,224.0
1921,08.06.1914,200.3
1922,09.06.1914,163.9
1923,10.06.1914,163.8
1924,11.06.1914,168.8
1925,12.06.1914,168.2
1926,13.06.1914,162.2
1927,14.06.1914,160.3
1928,15.06.1914,161.0
1929,16.06.1914,161.2
1930,17.06.1914,158.4
1931,18.06.1914,150.2
1932,19.06.1914,138.5
1933,20.06.1914,131.4
1934,21.06.1914,129.5
1935,22.06.1914,128.2
1936,23.06.1914,130.4
1937,24.06.1914,136.7
1938,25.06.1914,137.0
1939,26.06.1914,138.0
1940,27.06.1914,150.8
1941,28.06.1914,173.9
1942,29.06.1914,193.4
1943,30.06.1914,203.2
1944,01.07.1914,207.5
1945,02.07.1914,208.9
1946,03.07.1914,207.8
1947,04.07.1914,217.1
1948,05.07.1914,223.6
1949,06.07.1914,221.7
1950,07.07.1914,218.1
1951,08.07.1914,228.5
1952,09.07.1914,234.4
1953,10.07.1914,233.0
1954,11.07.1914,234.3
1955,12.07.1914,236.7
1956,13.07.1914,240.4
1957,14.07.1914,245.1
1958,15.07.1914,249.6
1959,16.07.1914,248.0
1960,17.07.1914,251.6
1961,18.07.1914,256.2
1962,19.07.1914,267.2
1963,20.07.1914,276.4
1964,21.07.1914,285.0
1965,22.07.1914,294.7
1966,23.07.1914,308.7
1967,24.07.1914,321.2
1968,25.07.1914,328.9
1969,26.07.1914,337.1
1970,27.07.1914,349.3
1971,28.07.1914,372.2
1972,29.07.1914,397.0
1973,30.07.1914,431.7
1974,31.07.1914,473.8
1975,01.08.1914,505.8
1976,02.08.1914,514.4
1977,03.08.1914,521.1
1978,04.08.1914,526.5
1979,05.08.1914,545.6
1980,06.08.1914,567.6
1981,07.08.1914,604.4
1982,08.08.1914,638.6
1983,09.08.1914,657.4
1984,10.08.1914,676.6
1985,11.08.1914,699.9
1986,12.08.1914,705.1
