kanton_kurz,kanton,durchschnittsalter,jahr
vd,Waadt,41.0438504064397,2023
vs,Wallis,43.5655076914118,2023
ge,Genf,41.3166323449107,2023
be,Bern,44.3199573067821,2023
fr,Freiburg,41.0576315918281,2023
so,Solothurn,43.9131794063158,2023
ne,Neuenburg,42.9071608210019,2023
ju,Jura,44.0354122665425,2023
bs,Basel-Stadt,43.4132640046571,2023
bl,Basel-Landschaft,45.0256336900624,2023
ag,Aargau,42.6401072276871,2023
zh,Zürich,41.9156324530944,2023
gl,Glarus,44.0107067315974,2023
sh,Schaffhausen,44.4099576290982,2023
ar,Appenzell A.Rh.,43.8120323991635,2023
ai,Appenzell I.Rh.,43.3683034075594,2023
sg,St. Gallen,42.4790919902439,2023
gr,Graubünden,45.4479088583809,2023
tg,Thurgau,42.8225537273412,2023
lu,Luzern,42.4118357944636,2023
ur,Uri,44.0964177656699,2023
sz,Schwyz,43.6832436835503,2023
ow,Obwalden,43.9642055388996,2023
nw,Nidwalden,45.2552536988857,2023
zg,Zug,43.048493899087,2023
ti,Tessin,46.154780103096,2023
schweiz,Schweiz,42.8863475995517,2023
vd,Waadt,41.0079,2022
vs,Wallis,43.5315,2022
ge,Genf,41.2962,2022
be,Bern,44.2569,2022
fr,Freiburg,40.9498,2022
so,Solothurn,43.8605,2022
ne,Neuenburg,42.8537,2022
ju,Jura,43.8428,2022
bs,Basel-Stadt,43.5081,2022
bl,Basel-Landschaft,45.0029,2022
ag,Aargau,42.604,2022
zh,Zürich,41.86,2022
gl,Glarus,43.9244,2022
sh,Schaffhausen,44.4398,2022
ar,Appenzell A.Rh.,43.743,2022
ai,Appenzell I.Rh.,43.1878,2022
sg,St. Gallen,42.4091,2022
gr,Graubünden,45.314,2022
tg,Thurgau,42.7266,2022
lu,Luzern,42.334,2022
ur,Uri,44.0079,2022
sz,Schwyz,43.5303,2022
ow,Obwalden,43.7638,2022
nw,Nidwalden,45.1653,2022
zg,Zug,42.8409,2022
ti,Tessin,46.0844,2022
schweiz,Schweiz,42.8304,2022
vd,Waadt,40.9079,2021
vs,Wallis,43.4052,2021
ge,Genf,41.2463,2021
be,Bern,44.1175,2021
fr,Freiburg,40.8338,2021
so,Solothurn,43.7479,2021
ne,Neuenburg,42.7384,2021
ju,Jura,43.6496,2021
bs,Basel-Stadt,43.5211,2021
bl,Basel-Landschaft,44.899,2021
ag,Aargau,42.4799,2021
zh,Zürich,41.77,2021
gl,Glarus,43.7463,2021
sh,Schaffhausen,44.3913,2021
ar,Appenzell A.Rh.,43.5983,2021
ai,Appenzell I.Rh.,42.9717,2021
sg,St. Gallen,42.3058,2021
gr,Graubünden,45.1289,2021
tg,Thurgau,42.5933,2021
lu,Luzern,42.2136,2021
ur,Uri,43.8034,2021
sz,Schwyz,43.3175,2021
ow,Obwalden,43.5494,2021
nw,Nidwalden,44.9862,2021
zg,Zug,42.6617,2021
ti,Tessin,45.9211,2021
schweiz,Schweiz,42.7185,2021
vd,Waadt,40.814,2020
vs,Wallis,43.2541,2020
ge,Genf,41.1348,2020
be,Bern,43.992,2020
fr,Freiburg,40.6908,2020
so,Solothurn,43.6449,2020
ne,Neuenburg,42.6069,2020
ju,Jura,43.4658,2020
bs,Basel-Stadt,43.473,2020
bl,Basel-Landschaft,44.7787,2020
ag,Aargau,42.3822,2020
zh,Zürich,41.6907,2020
gl,Glarus,43.6582,2020
sh,Schaffhausen,44.3657,2020
ar,Appenzell A.Rh.,43.4746,2020
ai,Appenzell I.Rh.,42.6817,2020
sg,St. Gallen,42.2129,2020
gr,Graubünden,44.9401,2020
tg,Thurgau,42.444,2020
lu,Luzern,42.0811,2020
ur,Uri,43.6581,2020
sz,Schwyz,43.1511,2020
ow,Obwalden,43.301,2020
nw,Nidwalden,44.6823,2020
zg,Zug,42.5331,2020
ti,Tessin,45.6862,2020
schweiz,Schweiz,42.6032,2020
vd,Waadt,40.7984,2019
vs,Wallis,43.1017,2019
ge,Genf,41.0836,2019
be,Bern,43.8484,2019
fr,Freiburg,40.5567,2019
so,Solothurn,43.5552,2019
ne,Neuenburg,42.4344,2019
ju,Jura,43.3717,2019
bs,Basel-Stadt,43.5146,2019
bl,Basel-Landschaft,44.6591,2019
ag,Aargau,42.2629,2019
zh,Zürich,41.6151,2019
gl,Glarus,43.5395,2019
sh,Schaffhausen,44.2478,2019
ar,Appenzell A.Rh.,43.2516,2019
ai,Appenzell I.Rh.,42.46,2019
sg,St. Gallen,42.128,2019
gr,Graubünden,44.7094,2019
tg,Thurgau,42.281,2019
lu,Luzern,41.9226,2019
ur,Uri,43.4573,2019
sz,Schwyz,42.9812,2019
ow,Obwalden,43.0824,2019
nw,Nidwalden,44.4363,2019
zg,Zug,42.3291,2019
ti,Tessin,45.5473,2019
schweiz,Schweiz,42.4984,2019
vd,Waadt,40.6598,2018
vs,Wallis,42.8653,2018
ge,Genf,40.9819,2018
be,Bern,43.7052,2018
fr,Freiburg,40.3529,2018
so,Solothurn,43.4049,2018
ne,Neuenburg,42.238,2018
