jahr_quartal;total;gemeindetyp_1;gemeindetyp_2;gemeindetyp_3;gemeindetyp_4;gemeindetyp_5;;;;;;;;;;;;;;;
q1 2017;90,4561;88,9915;90,0573;91,9422;91,9864;90,5077;;;;;;;;;;;;;;;
q2 2017;91,6814;89,6460;92,1487;92,7226;92,4126;93,2616;;;;;;;;;;;;;;;
q3 2017;93,4534;93,0425;92,8388;94,3866;94,1184;93,4740;;;;;;;;;;;;;;;
q4 2017;93,2599;92,2051;94,6542;95,3687;93,0045;92,8949;;;;;;;;;;;;;;;
q1 2018;93,1957;91,9652;94,2401;94,0361;94,1886;92,2726;;;;;;;;;;;;;;;
q2 2018;94,6749;93,3684;95,5183;95,8155;94,7977;95,3593;;;;;;;;;;;;;;;
q3 2018;95,2729;94,8277;97,1374;95,7965;95,0389;94,0192;;;;;;;;;;;;;;;
q4 2018;96,6715;94,7678;97,1294;98,2317;97,7503;97,1914;;;;;;;;;;;;;;;
q1 2019;97,6275;95,5862;98,1265;97,7382;99,6204;97,7453;;;;;;;;;;;;;;;
q2 2019;98,1359;97,7431;98,7230;99,1979;98,3610;97,1926;;;;;;;;;;;;;;;
q3 2019;98,2721;96,9946;100,4299;98,0723;98,7129;97,5324;;;;;;;;;;;;;;;
q4 2019;100,0000;100,0000;100,0000;100,0000;100,0000;100,0000;;;;;;;;;;;;;;;
q1 2020;99,2443;98,8529;99,2775;98,3349;100,0419;99,1842;;;;;;;;;;;;;;;
q2 2020;100,5969;100,5790;100,9930;99,8903;100,9818;99,8957;;;;;;;;;;;;;;;
q3 2020;100,8153;101,3617;101,3003;100,5148;99,9516;100,7590;;;;;;;;;;;;;;;
q4 2020;103,1292;102,6234;103,9620;102,9193;102,8875;103,7079;;;;;;;;;;;;;;;
q1 2021;103,0749;103,5239;103,2326;103,8353;103,1195;101,5973;;;;;;;;;;;;;;;
q2 2021;105,3380;105,5323;104,0999;106,1336;105,9314;105,0220;;;;;;;;;;;;;;;
q3 2021;107,8175;108,8904;106,9536;107,3431;107,5295;107,5935;;;;;;;;;;;;;;;
q4 2021;110,6721;109,4369;112,3689;109,9020;110,3694;112,0684;;;;;;;;;;;;;;;
q1 2022;110,2636;111,6322;109,5700;106,6691;111,0430;109,4881;;;;;;;;;;;;;;;
q2 2022;113,2190;115,8183;110,8270;109,6982;112,7697;114,0550;;;;;;;;;;;;;;;
q3 2022;114,6255;117,4200;112,5650;111,5334;114,9949;113,1978;;;;;;;;;;;;;;;
q4 2022;115,9928;116,8490;113,5403;113,6173;116,0354;118,5877;;;;;;;;;;;;;;;
q1 2023;114,5903;116,1212;113,2334;112,7364;114,2320;114,7592;;;;;;;;;;;;;;;
q2 2023;115,9286;117,3834;115,0901;114,5376;114,6894;116,7974;;;;;;;;;;;;;;;
q3 2023;116,1257;118,8075;114,5601;113,7674;114,9467;115,7789;;;;;;;;;;;;;;;
q4 2023;117,4406;118,7547;114,7570;115,8886;118,2289;117,6471;;;;;;;;;;;;;;;
q1 2024;116,2839;117,6277;115,3483;117,0322;115,7702;115,0649;;;;;;;;;;;;;;;
q2 2024;117,5240;118,4153;115,7868;118,2259;117,1496;117,8643;;;;;;;;;;;;;;;
q3 2024;118,1541;119,6274;117,4770;118,4795;117,2399;117,2923;;;;;;;;;;;;;;;
q4 2024;120,2223;123,2183;117,7500;121,3451;118,5730;119,5307;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
