jahr,basisdatum,indexwert
1940,1939-08-01 00:00:00,99.9
1941,1939-08-01 00:00:00,99.8
1942,1939-08-01 00:00:00,100.0
1943,1939-08-01 00:00:00,100.2
1944,1939-08-01 00:00:00,100.9
1945,1939-08-01 00:00:00,101.5
1946,1939-08-01 00:00:00,102.1
1947,1939-08-01 00:00:00,103.0
1948,1939-08-01 00:00:00,104.3
1949,1939-08-01 00:00:00,106.2
1950,1939-08-01 00:00:00,108.2
1951,1939-08-01 00:00:00,112.4
1952,1939-08-01 00:00:00,118.1
1953,1939-08-01 00:00:00,120.1
1954,1939-08-01 00:00:00,122.6
1955,1939-08-01 00:00:00,126.8
1956,1939-08-01 00:00:00,129.9
1957,1939-08-01 00:00:00,133.1
1958,1939-08-01 00:00:00,138.8
1959,1939-08-01 00:00:00,144.0
1960,1939-08-01 00:00:00,147.7
1961,1939-08-01 00:00:00,152.5
1962,1939-08-01 00:00:00,160.1
1963,1939-08-01 00:00:00,166.8
1964,1939-08-01 00:00:00,177.2
1965,1939-08-01 00:00:00,187.0
1966,1939-08-01 00:00:00,202.2
1967,1939-08-01 00:00:00,221.5
1968,1939-08-01 00:00:00,237.9
1969,1939-08-01 00:00:00,253.1
1970,1939-08-01 00:00:00,269.6
1971,1939-08-01 00:00:00,292.7
1972,1939-08-01 00:00:00,317.4
1973,1939-08-01 00:00:00,338.2
1974,1939-08-01 00:00:00,363.8
1975,1939-08-01 00:00:00,399.4
1976,1939-08-01 00:00:00,416.7
1977,1939-08-01 00:00:00,421.9
1978,1939-08-01 00:00:00,423.3
1979,1939-08-01 00:00:00,422.9
1980,1939-08-01 00:00:00,427.6
1981,1939-08-01 00:00:00,446.3
1982,1939-08-01 00:00:00,488.2
1983,1939-08-01 00:00:00,515.1
1984,1939-08-01 00:00:00,527.9
1985,1939-08-01 00:00:00,544.7
1986,1939-08-01 00:00:00,564.9
1987,1939-08-01 00:00:00,582.1
1988,1939-08-01 00:00:00,598.5
1989,1939-08-01 00:00:00,620.6
1990,1939-08-01 00:00:00,674.3
1991,1939-08-01 00:00:00,741.2
1992,1939-08-01 00:00:00,792.4
1993,1939-08-01 00:00:00,833.1
1994,1939-08-01 00:00:00,838.0
1995,1939-08-01 00:00:00,847.0
1996,1939-08-01 00:00:00,858.4
1997,1939-08-01 00:00:00,862.9
1998,1939-08-01 00:00:00,863.4
1999,1939-08-01 00:00:00,869.4
2000,1939-08-01 00:00:00,882.6
2001,1939-08-01 00:00:00,907.4
2002,1939-08-01 00:00:00,916.8
2003,1939-08-01 00:00:00,919.4
2004,1939-08-01 00:00:00,930.4316652608749
2005,1939-08-01 00:00:00,943.5
2006,1939-08-01 00:00:00,962.4
2007,1939-08-01 00:00:00,984.1
2008,1939-08-01 00:00:00,1008.0
2009,1939-08-01 00:00:00,1033.2
2010,1939-08-01 00:00:00,1044.9
2011,1939-08-01 00:00:00,1058.8
2012,1939-08-01 00:00:00,1065.1
2013,1939-08-01 00:00:00,1069.6
2014,1939-08-01 00:00:00,1082.4
2015,1939-08-01 00:00:00,1091.5
2016,1939-08-01 00:00:00,1094.0
2017,1939-08-01 00:00:00,1107.3
2018,1939-08-01 00:00:00,1114.5
2019,1939-08-01 00:00:00,1120.8
2020,1939-08-01 00:00:00,1131.2
2021,1939-08-01 00:00:00,1142.612354855218
2022,1939-08-01 00:00:00,1159.2
2023,1939-08-01 00:00:00,1177.4
2024,1939-08-01 00:00:00,1215.6
1966,1966-09-01 00:00:00,98.1
1967,1966-09-01 00:00:00,107.5
1968,1966-09-01 00:00:00,115.5
1969,1966-09-01 00:00:00,122.8
1970,1966-09-01 00:00:00,130.8
1971,1966-09-01 00:00:00,142.0
1972,1966-09-01 00:00:00,154.0
1973,1966-09-01 00:00:00,164.1
1974,1966-09-01 00:00:00,176.5
1975,1966-09-01 00:00:00,193.8
1976,1966-09-01 00:00:00,202.2
1977,1966-09-01 00:00:00,204.7
1978,1966-09-01 00:00:00,205.4
1979,1966-09-01 00:00:00,205.2
1980,1966-09-01 00:00:00,207.5
1981,1966-09-01 00:00:00,216.6
1982,1966-09-01 00:00:00,236.9
1983,1966-09-01 00:00:00,250.0
1984,1966-09-01 00:00:00,256.2
1985,1966-09-01 00:00:00,264.3
1986,1966-09-01 00:00:00,274.1
1987,1966-09-01 00:00:00,282.5
1988,1966-09-01 00:00:00,290.4
1989,1966-09-01 00:00:00,301.2
1990,1966-09-01 00:00:00,327.2
1991,1966-09-01 00:00:00,359.7
1992,1966-09-01 00:00:00,384.5
1993,1966-09-01 00:00:00,404.3
1994,1966-09-01 00:00:00,406.7
1995,1966-09-01 00:00:00,411.0
1996,1966-09-01 00:00:00,416.6
1997,1966-09-01 00:00:00,418.8
1998,1966-09-01 00:00:00,419.0
1999,1966-09-01 00:00:00,421.9
2000,1966-09-01 00:00:00,428.3
2001,1966-09-01 00:00:00,440.3
2002,1966-09-01 00:00:00,444.9
2003,1966-09-01 00:00:00,446.1
2004,1966-09-01 00:00:00,451.5115451326942
2005,1966-09-01 00:00:00,457.8
2006,1966-09-01 00:00:00,467.0
2007,1966-09-01 00:00:00,477.6
2008,1966-09-01 00:00:00,489.2
2009,1966-09-01 00:00:00,501.4
2010,1966-09-01 00:00:00,507.0
2011,1966-09-01 00:00:00,513.8
2012,1966-09-01 00:00:00,516.8
2013,1966-09-01 00:00:00,519.1
2014,1966-09-01 00:00:00,525.3
2015,1966-09-01 00:00:00,529.7
2016,1966-09-01 00:00:00,530.9
2017,1966-09-01 00:00:00,537.3
2018,1966-09-01 00:00:00,540.8
2019,1966-09-01 00:00:00,543.9
2020,1966-09-01 00:00:00,548.9
2021,1966-09-01 00:00:00,554.4766897886437
2022,1966-09-01 00:00:00,562.5
2023,1966-09-01 00:00:00,571.4
2024,1966-09-01 00:00:00,589.9
1977,1977-09-01 00:00:00,99.9
1978,1977-09-01 00:00:00,100.2
1979,1977-09-01 00:00:00,100.1
1980,1977-09-01 00:00:00,101.2
1981,1977-09-01 00:00:00,105.7
1982,1977-09-01 00:00:00,115.6
1983,1977-09-01 00:00:00,121.9
1984,1977-09-01 00:00:00,124.9
1985,1977-09-01 00:00:00,128.9
1986,1977-09-01 00:00:00,133.7
1987,1977-09-01 00:00:00,137.8
1988,1977-09-01 00:00:00,141.7
1989,1977-09-01 00:00:00,146.9
1990,1977-09-01 00:00:00,159.6
1991,1977-09-01 00:00:00,175.4
1992,1977-09-01 00:00:00,187.6
1993,1977-09-01 00:00:00,197.2
1994,1977-09-01 00:00:00,198.4
1995,1977-09-01 00:00:00,200.5
