,Zins_Fest_MW,festhypo_5_7_median,festhypo_5_7_anzahl_abschluesse,Zins_Var_MW,variabelhypo_5_7_median,variabelhypo_5_7_anzahl_abschluesse,LIK,HVPI,totalindex_und_subindizes,wohneigentum_total,wohneigentum_gemeindetyp 1,wohneigentum_gemeindetyp 2,wohneigentum_gemeindetyp 3,wohneigentum_gemeindetyp 4,wohneigentum_gemeindetyp 5,einfamilienhaeuser_efh,einfamilienhaeuser_gemeindetyp 1,einfamilienhaeuser_gemeindetyp 2,einfamilienhaeuser_gemeindetyp 3,einfamilienhaeuser_gemeindetyp 4,einfamilienhaeuser_gemeindetyp 5,eigentumswohnungen_egw,eigentumswohnungen_gemeindetyp 1,eigentumswohnungen_gemeindetyp 2,eigentumswohnungen_gemeindetyp 3,eigentumswohnungen_gemeindetyp 4,eigentumswohnungen_gemeindetyp 5,price_calculated
2019-01-01,1.2196,1.1,404,0.92384,0.9,99,0.4,0.4,2019Q1,97.6275,95.5862,98.1265,97.7382,99.6204,97.7453,97.0706,95.2869,97.159,96.2836,98.8768,97.1565,98.1662,95.817,98.8719,98.7477,100.5461,98.7016,825309.0978476165
2019-01-01,1.1661,1.1,310,0.92389,0.9,64,0.4,0.4,2019Q1,97.6275,95.5862,98.1265,97.7382,99.6204,97.7453,97.0706,95.2869,97.159,96.2836,98.8768,97.1565,98.1662,95.817,98.8719,98.7477,100.5461,98.7016,825309.0978476165
2019-01-01,1.1481,1.1,390,0.92855,0.9,62,0.4,0.4,2019Q1,97.6275,95.5862,98.1265,97.7382,99.6204,97.7453,97.0706,95.2869,97.159,96.2836,98.8768,97.1565,98.1662,95.817,98.8719,98.7477,100.5461,98.7016,825309.0978476165
2020-01-01,1.0769,1.04,369,0.86446,0.85,92,-0.7,-0.8,2020Q1,99.2443,98.8529,99.2775,98.3349,100.0419,99.1842,99.4514,100.432,99.1559,98.7522,98.9907,99.1911,99.052,97.5903,99.3591,98.0392,101.2635,99.1739,795583.306734759
2020-01-01,1.074,1.0,236,0.84412,0.85,34,-0.7,-0.8,2020Q1,99.2443,98.8529,99.2775,98.3349,100.0419,99.1842,99.4514,100.432,99.1559,98.7522,98.9907,99.1911,99.052,97.5903,99.3591,98.0392,101.2635,99.1739,795583.306734759
2020-01-01,1.0496,1.0,305,0.88795,0.85,73,-0.7,-0.8,2020Q1,99.2443,98.8529,99.2775,98.3349,100.0419,99.1842,99.4514,100.432,99.1559,98.7522,98.9907,99.1911,99.052,97.5903,99.3591,98.0392,101.2635,99.1739,795583.306734759
2021-01-01,1.0397,1.0,293,0.8538,0.85,140,0.6,0.5,2021Q1,103.0749,103.5239,103.2326,103.8353,103.1195,101.5973,103.2623,104.3719,102.7499,104.5064,103.7429,100.999,102.905,102.8296,103.5709,103.3647,102.4786,102.4387,827767.2642934197
2021-01-01,1.011,0.975,230,0.825,0.85,96,0.6,0.5,2021Q1,103.0749,103.5239,103.2326,103.8353,103.1195,101.5973,103.2623,104.3719,102.7499,104.5064,103.7429,100.999,102.905,102.8296,103.5709,103.3647,102.4786,102.4387,827767.2642934197
2021-01-01,1.025,0.97,354,0.83711,0.8,221,0.6,0.5,2021Q1,103.0749,103.5239,103.2326,103.8353,103.1195,101.5973,103.2623,104.3719,102.7499,104.5064,103.7429,100.999,102.905,102.8296,103.5709,103.3647,102.4786,102.4387,827767.2642934197
2022-01-01,1.094,1.05,169,0.84866,0.8,67,2.8,2.7,2022Q1,110.2636,111.6322,109.57,106.6691,111.043,109.4881,112.0222,115.6568,111.6066,108.1986,111.1757,110.1499,108.6991,108.6172,108.0515,105.4674,110.9359,108.5906,892635.1321523112
2022-01-01,1.1552,1.1,161,0.87638,0.8,69,2.8,2.7,2022Q1,110.2636,111.6322,109.57,106.6691,111.043,109.4881,112.0222,115.6568,111.6066,108.1986,111.1757,110.1499,108.6991,108.6172,108.0515,105.4674,110.9359,108.5906,892635.1321523112
2022-01-01,1.228,1.2,186,0.81389,0.8,80,2.8,2.7,2022Q1,110.2636,111.6322,109.57,106.6691,111.043,109.4881,112.0222,115.6568,111.6066,108.1986,111.1757,110.1499,108.6991,108.6172,108.0515,105.4674,110.9359,108.5906,892635.1321523112
